Code Adhérent;Code du destinataire;Description destinataire;Nature;Numéro de document;Date d'enregistrement;Référence du document de base;Numéro d'article;Description article/service;Quantité;Remise (%) par ligne;Définition de la TVA;prix Brut;prix Net;prix TTC;N° Série
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;PLUG10;PLUG QUIET - LECTURE;3;20;C4;21,15;16,92;20,304;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;15,98;15,976;19,171;
AF0593;ACUITIS BREST;39 RUE DE SIAM  29200 BREST FRANCE;FA;22120349;09.12.2022;22111174;CL7370OPT;CASQUE TV CL7370 OPTIQUE;1;20;C4;92;73,6;88,32;
003;ACUITIS PLACE DE PARIS;34-38 AVENUE DE LA LIBERTE  L1930 LUXEMBOURG LUXEMBOURG;AV;22120795;20.12.2022;;FOTO42;FOTOTEC LIFESTYLE ACTIVE;2;18;E7;61,8;50,676;50,676;
003;ACUITIS PLACE DE PARIS;34-38 AVENUE DE LA LIBERTE  L1930 LUXEMBOURG LUXEMBOURG;AV;22120795;20.12.2022;;SNR2;GRAVURE LOGO;2;18;E7;4;3,28;3,28;
INNO009;CENTRE AUDITIF;10 PLACE CHARLES OURGAUT  31340 VILLEMUR-SUR-TARN FRANCE;FA;22120821;21.12.2022;22121145;PO17;PORT -  CIBLEX (1 KG);1;0;C4;16,5;16,5;19,8;
GF0702;GRAND AUDITION INGELDORF;4 ROUTE D ETTELBRUCK  L-9160 INGELDORF LUXEMBOURG;FA;22120886;22.12.2022;22121255;PO1;PORT T.N.T. FRANCO (1 KG);1;100;C4;16,5;0;0;
GF0702;GRAND AUDITION INGELDORF;4 ROUTE D ETTELBRUCK  L-9160 INGELDORF LUXEMBOURG;FA;22120886;22.12.2022;22121255;PO5;FRAIS D'EMBALLAGE;1;0;C4;2,6;2,6;3,12;
GF0702;GRAND AUDITION INGELDORF;4 ROUTE D ETTELBRUCK  L-9160 INGELDORF LUXEMBOURG;FA;22120886;22.12.2022;22121255;BDM1;TESTEUR CONSOMMATION;1;20;E7;220;176;176;
GF0702;GRAND AUDITION INGELDORF;4 ROUTE D ETTELBRUCK  L-9160 INGELDORF LUXEMBOURG;FA;22120886;22.12.2022;22121255;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;5,36;5,358;6,43;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;ASPI2;ASPIMATIC II MEGA-POWER;1;20;C4;620;496;595,2;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CAPCAO.;CAPUCHON POLISSOIR x5;1;20;C4;16,25;13;15,6;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,75;0,75;0,9;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,75;0,75;0,9;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,15;0,15;0,18;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,75;0,75;0,9;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;2;0;C4;1,5;1,5;1,8;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,75;0,75;0,9;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,09;0,09;0,108;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;2;0;C4;0,18;0,18;0,216;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;1;0;C4;0,08;0,08;0,096;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DEEE;ECO PARTICIPATION;2;0;C4;0,18;0,18;0,216;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DIST70.;DISTRIBUTEUR ALCOOL + CARTOUCHE;1;20;C4;26;20,8;24,96;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;EMBME.;EMBOUTS MELANGEUR;100;20;C4;62;49,6;59,5;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;KITUV;KIT UV COMPLET;1;20;C4;435;348;417,6;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;LAQ50.;LAQUE DUR 50ml;1;20;C4;42;33,6;40,32;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;M0005;DISPLAY - EMBOUT RIC;1;20;C4;305;244;292,8;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;M0006;DISPLAY - ANTI-BRUIT - DREVE;1;20;C4;305;244;292,8;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PO51;FRAIS D'EMBALLAGE;2;0;C4;5,6;5,6;6,72;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;REST20.;RESINE DUR TRANS 20g;1;20;C4;20;16;19,2;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;TUBSOU.;TUBE FLEXIBLE  2x3mm;10;20;C4;8,5;6,8;8,16;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;VERNIS.;VERNIS SILICONE ECO 20ml;1;20;C4;17;13,6;16,32;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;1512;SUPPORT PISTOLET ELECTRIQUE;1;20;C4;49;39,2;47,04;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;3245;CANULE ROSE SMALL 5.4 mm;100;20;C4;66;52,8;63,4;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;5675;LOT PROTEGE TYMPAN AERE 6 PIECES /DIAMETRE;1;20;C4;28;22,4;26,88;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;AQUA8;CARTOUCHE AQUA 4B+4R;8;20;C4;96;76,8;92,16;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;ASEPTC;CONTAINER ASEPTIL 450;1;20;C4;46;36,8;44,16;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CARTO;CARROUSEL 9 TOURNEVIS;1;20;C4;59;47,2;56,64;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CISDRO;CISEAUX INOX POINTU;1;20;C4;10,5;8,4;10,08;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CISRON;CISEAUX INOX ROND;1;20;C4;17,5;14;16,8;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;COREM;PINCE COUPANTE 110mm;1;20;C4;36;28,8;34,56;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CYA201;FLACON COLLE 4g;6;20;C4;18,6;14,88;17,856;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;DISPLA;"PRESENTOIR PLUGGERZ ""ACUITIS""";1;100;C4;30;0;0;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;EC35;NETTOYANT EC35 1L;1;20;C4;31;24,8;29,76;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;EM07D;BAC A ULTRASONS 0,7L;1;20;C4;136;108,8;130,56;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET1;FORET COURT 0.5mm;1;20;C4;5,5;4,4;5,28;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET12;FORET LONG 1.5mm;1;20;C4;9,5;7,6;9,12;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET13;FORET LONG 2mm;1;20;C4;9,9;7,92;9,504;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET15;FORET LONG 2.5mm;1;20;C4;12,05;9,64;11,568;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET16;FORET LONG 2.9mm;1;20;C4;12,05;9,64;11,568;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET8;FORET LONG 0.5mm;1;20;C4;8,85;7,08;8,496;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIBLO;FRAISE ABRASIVE BLEUE OGIVE;1;20;C4;8,9;7,12;8,544;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIBO2;FRAISE BOULE 1.8mm;1;20;C4;2,65;2,12;2,544;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIBO4;FRAISE BOULE 2.5mm;1;20;C4;2,65;2,12;2,544;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIPOC;BOULE COTON;1;20;C4;3,2;2,56;3,072;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;HEFOLED;OTOSCOPE HEINE 3000 F.O. LED;1;20;C4;172;137,6;165,12;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;LAMSCA;LAME SCALPEL N°11;10;20;C4;7,5;6;7,2;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;MICORE;MICRO PINCE HARTMANN;1;20;C4;23;18,4;22,08;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;MIRCLA;MIROIR DE CLAR;1;15;C4;165;140,25;168,3;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;ORESIL;OREILLE MAGNETIQUE BLANCHE G;1;20;C4;29;23,2;27,84;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PEBE1;PLANCHE PETIT MODELE SYL;1;20;C4;37;29,6;35,52;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PEOCAS;CANULE STETHOSCOPE INTRA;3;20;C4;6,3;5,04;6,048;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PINTUB;PINCE A DILATER INOX;1;20;C4;33;26,4;31,68;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PISINJ3;PISTOLET INJECTEUR - DM ET DS50;1;20;C4;59;47,2;56,64;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLAREM;PINCE PLATE  120mm;1;20;C4;34;27,2;32,64;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLAT01;PLATEAU INOX 21x16 x 2cm;3;20;C4;30;24;28,8;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG1;PLUG PRO - BRICOLAGE;3;20;C4;27,45;21,96;26,352;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG11;PLUG SHOOT - CHASSE ET TIR;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG2;PLUG MUSIC - MUSIQUE;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG3;PLUG ROAD - ROUTE - MOTO;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG7;PLUG WATER - PISCINE;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG8;PLUG TRAVEL - VOYAGE;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PROCYL;50 PROTEGES TYMPAN CYL. S;1;20;C4;9,05;7,24;8,688;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PROTYM;100 PROTEGES TYMPAN CONIQUE;1;20;C4;24;19,2;23,04;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SCALP;SCALPEL METAL N°3;1;20;C4;5,65;4,52;5,424;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SEPG25;BTE DIST. SPECULUM 2,5 x250;1;20;C4;9,8;7,84;9,408;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SEPG40;BTE DIST. SPECULUM 4 x250;1;20;C4;9,8;7,84;9,408;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SET860;ECOUTE TV SET860  H.F;2;20;C4;398;318,4;382,08;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SONO2;SONOMETRE SL200;1;15;C4;177;150,45;180,54;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;STET;STETHOSCOPE MONO NOIR;1;20;C4;21;16,8;20,16;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SUPCOMB;SUPPORT FRAISES UNIVERSEL BLANC;1;20;C4;45;36;43,2;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;2956;OTOFORM A/SOFT X - S50 x8;1;20;C4;58;46,4;55,68;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIROP;FRAISE ABRASIVE POINTE ROSE;1;20;C4;2,1;1,68;2,016;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FORET10;FORET LONG 1mm;1;20;C4;9,5;7,6;9,12;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;BRUFI;BRUCELLE FINE;1;20;C4;23;18,4;22,08;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG4;PLUG SLEEP - SOMMEIL;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PLUG10;PLUG QUIET - LECTURE;3;20;C4;21,15;16,92;20,304;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PO174;PORT -  CIBLEX (17 KG);1;0;C4;37;37;44,4;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;PO174;PORT -  CIBLEX (11 KG);1;0;C4;37;37;44,4;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;124,45;124,451;149,341;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;15151;PISTOLET ELECTRIQUE;1;20;C4;795;636;763,2;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CASE;CASIER 20 TIROIRS;1;20;C4;36;28,8;34,56;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;ANGEL;ANIOSGEL 300 ml;2;20;C4;13,7;10,96;13,152;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;MANPOL1;PORTE POLISSOIR;1;20;C4;25,2;20,16;24,192;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIROC;FRAISE ABRASIVE CYLIND. ROSE;1;20;C4;2,1;1,68;2,016;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIBO1;FRAISE BOULE 1.5mm;1;20;C4;2,65;2,12;2,544;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;FRAIBO3;FRAISE BOULE 2.mm;1;20;C4;2,65;2,12;2,544;
ZZZZ;ACUITIS;55 AVENUE VICTOR HUGO  75016 PARIS FRANCE;FA;22121313;31.12.2022;22121529;CL7370OPT;CASQUE TV CL7370 OPTIQUE;1;20;C4;92;73,6;88,32;
ZZZZ;SOCIETE 3P2B / ACUITIS;40 RUE DES CARMES  40100 DAX FRANCE;FA;22121314;31.12.2022;22120963;GAZ650.;GAZ'NET 650ml;9;18;C4;59,85;49,077;58,896;
ZZZZ;SOCIETE 3P2B / ACUITIS;40 RUE DES CARMES  40100 DAX FRANCE;FA;22121314;31.12.2022;22120963;PO171;PORT -  CIBLEX (4 KG);1;0;C4;18,5;18,5;22,2;
ZZZZ;SOCIETE 3P2B / ACUITIS;40 RUE DES CARMES  40100 DAX FRANCE;FA;22121314;31.12.2022;22120963;PO511;FRAIS D'EMBALLAGE;1;0;C4;2,7;2,7;3,24;
ZZZZ;SOCIETE 3P2B / ACUITIS;40 RUE DES CARMES  40100 DAX FRANCE;FA;22121314;31.12.2022;22120963;SC2022;Surcharge Conjoncturelle +3%;1;0;C4;2,11;2,108;2,53;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;FOTO20;FOTOTEC SQUELETTE;2;18;E7;42,2;34,604;34,604;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;PORT1;PORT + EMBALLAGE-ETRANG;1;0;E7;14,4;14,4;14,4;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;VARIO20;VARIOTHERM SQUELETTE;1;18;E7;31,4;25,748;25,748;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;VARIO20;VARIOTHERM SQUELETTE;1;18;E7;31,4;25,748;25,748;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;VERS;ASSURANCE;1;0;E7;1;1;1;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;SC2022;Surcharge Conjoncturelle +3%;1;0;E7;3,24;3,242;3,242;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;SNR2;GRAVURE LOGO;1;18;E7;2;1,64;1,64;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;SNR2;GRAVURE LOGO;1;18;E7;2;1,64;1,64;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120453;SNR2;GRAVURE LOGO;2;18;E7;4;3,28;3,28;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120517;FOTO44;EMBOUT LIFESTYLE FUTURE EPAULEMENT COURT;2;100;E7;64,9;0;0;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120517;FOTO44;EMBOUT LIFESTYLE FUTURE EPAULEMENT COURT;2;100;E7;64,9;0;0;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120517;PORT1;PORT + EMBALLAGE-ETRANG;1;0;E7;14,4;14,4;14,4;
0011;ACUITIS SCHENGEN;C C. BORDERS 6, SCHENGERWISS L-5439 REMERSCHEN LUXEMBOURG;FA;22121315;31.12.2022;22120517;VERS;ASSURANCE;1;0;E7;1;1;1;
